"","state","county","Biden","Trump","cases","cases_avg","cases_avg_per_100k","deaths","deaths_avg","deaths_avg_per_100k","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","retail_recreation","grocery_pharmacy","parks","transit","workplace","residential"
"27","Florida","columbia",8914,23836,16,13.14,18.33,0,2.4,3.35,1,1,1,0,1,2,0,0,-7.19354838709677,5.35483870967742,-9.23529411764706,-5.25806451612903,-8.93548387096774,2.51612903225806
"28","Florida","desoto",4259,8313,4,4.57,12.03,0,0,0,1,1,1,0,1,2,0,0,-29.8064516129032,-22.3225806451613,-45.0322580645161,NA,-26.2258064516129,2.09090909090909
"29","Florida","dixie",1365,6759,2,3.86,22.92,0,0,0,1,1,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA
"30","Florida","duval",252556,233762,150,191,19.94,6,2.29,0.24,1,1,1,0,1,2,0,0,-15.2258064516129,-8.06451612903226,-8,-25.0645161290323,-25.6129032258065,6.54838709677419
"31","Florida","escambia",70929,96674,74,61.29,19.25,1,0.57,0.18,1,1,1,0,1,2,0,0,-10.6451612903226,-2.45161290322581,7.61290322580645,-16.8064516129032,-22.0322580645161,4.38709677419355
"32","Florida","flagler",28161,43043,12,14.57,12.66,1,0.43,0.37,1,1,1,0,1,2,0,0,-13.3870967741935,-2.38709677419355,-6.58064516129032,NA,-22.9677419354839,4.7741935483871
"33","Florida","franklin",2120,4675,1,3.86,31.81,0,0,0,1,1,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA
"34","Florida","gadsden",16153,7465,2,2.43,5.32,0,0.14,0.31,1,1,1,0,1,2,0,0,-3.48387096774194,-5.64516129032258,NA,-3.7741935483871,-22.2258064516129,5.61538461538461
"35","Florida","gilchrist",1700,7895,1,1.86,9.99,0,0.14,0.77,1,1,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA
"36","Florida","glades",1385,3782,1,2.14,15.52,0,0,0,1,1,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA
"37","Florida","gulf",1985,6113,2,3.29,24.09,0,0,0,1,1,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA
"38","Florida","hamilton",1963,3815,1,1.71,11.88,0,0.33,2.31,1,1,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA
"39","Florida","hardee",2298,6122,3,6.57,24.4,0,0.14,0.53,1,1,1,0,1,2,0,0,-16.6129032258065,-30.1612903225806,-27.6451612903226,NA,-25.6774193548387,2.90909090909091
"40","Florida","hendry",4929,7906,7,8.57,20.4,0,0.14,0.34,1,1,1,0,1,2,0,0,-18.8064516129032,-22,-49.0322580645161,NA,-24.9677419354839,3.96153846153846
"41","Florida","hernando",37519,70412,29,27.57,14.22,0,1,0.52,1,1,1,0,1,2,0,0,-11.0967741935484,-5.80645161290323,-15.4516129032258,NA,-18.5161290322581,3.80645161290323
"42","Florida","highlands",16938,34873,26,22.29,20.98,1,0.86,0.81,1,1,1,0,1,2,0,0,-25.4516129032258,-18.0645161290323,-28.7096774193548,-34,-24.6129032258065,2.51612903225806
"43","Florida","hillsborough",376367,327398,225,254.14,17.27,0,10.67,0.72,1,1,1,0,1,2,0,0,-20.1935483870968,-14.6129032258065,-13.2903225806452,-41.9032258064516,-28.741935483871,7.7741935483871
"44","Florida","holmes",924,8080,10,9.83,50.13,1,0.14,0.73,1,1,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA
"45","Florida","indian river",37844,58872,24,30.86,19.3,0,0,0,1,1,1,0,1,2,0,0,-21.8709677419355,-20.1935483870968,-27.9032258064516,-4.19354838709677,-21.5483870967742,4.35483870967742
